Freq.	V(vout2)/V(vin)
1.28600360036003e+008	(4.47627563836461e+001dB,-2.26124746519835e+001°)
1.28637863786378e+008	(4.47624740705865e+001dB,-2.26191721171940e+001°)
1.28675367536753e+008	(4.47621916960966e+001dB,-2.26258690491518e+001°)
1.28712871287128e+008	(4.47619092601943e+001dB,-2.26325654479831e+001°)
1.28750375037503e+008	(4.47616267628964e+001dB,-2.26392613136725e+001°)
1.28787878787878e+008	(4.47613442042174e+001dB,-2.26459566463522e+001°)
1.28825382538253e+008	(4.47610615841754e+001dB,-2.26526514461927e+001°)
1.28862886288628e+008	(4.47607789027815e+001dB,-2.26593457132059e+001°)
1.28900390039003e+008	(4.47604961600585e+001dB,-2.26660394474616e+001°)
1.28937893789378e+008	(4.47602133560165e+001dB,-2.26727326491294e+001°)
1.28975397539753e+008	(4.47599304906740e+001dB,-2.26794253182855e+001°)
1.29012901290128e+008	(4.47596475640461e+001dB,-2.26861174549652e+001°)
1.29050405040504e+008	(4.47593645761490e+001dB,-2.26928090593069e+001°)
1.29087908790879e+008	(4.47590815270002e+001dB,-2.26995001313565e+001°)
1.29125412541254e+008	(4.47587984166119e+001dB,-2.27061906712741e+001°)
1.29162916291629e+008	(4.47585152450010e+001dB,-2.27128806790916e+001°)
1.29200420042004e+008	(4.47582320121855e+001dB,-2.27195701549351e+001°)
1.29237923792379e+008	(4.47579487181766e+001dB,-2.27262590989458e+001°)
1.29275427542754e+008	(4.47576653629979e+001dB,-2.27329475111097e+001°)
1.29312931293129e+008	(4.47573819466598e+001dB,-2.27396353915310e+001°)
1.29350435043504e+008	(4.47570984691788e+001dB,-2.27463227403289e+001°)
1.29387938793879e+008	(4.47568149305724e+001dB,-2.27530095576374e+001°)
1.29425442544254e+008	(4.47565313308541e+001dB,-2.27596958435089e+001°)
1.29462946294629e+008	(4.47562476700414e+001dB,-2.27663815979876e+001°)
1.29500450045004e+008	(4.47559639481526e+001dB,-2.27730668211305e+001°)
1.29537953795379e+008	(4.47556801651966e+001dB,-2.27797515132215e+001°)
1.29575457545754e+008	(4.47553963211971e+001dB,-2.27864356741501e+001°)
1.29612961296129e+008	(4.47551124161628e+001dB,-2.27931193041458e+001°)
1.29650465046504e+008	(4.47548284501153e+001dB,-2.27998024032202e+001°)
1.29687968796879e+008	(4.47545444230696e+001dB,-2.28064849714262e+001°)
1.29725472547254e+008	(4.47542603350399e+001dB,-2.28131670089214e+001°)
1.29762976297629e+008	(4.47539761860417e+001dB,-2.28198485158357e+001°)
1.29800480048004e+008	(4.47536919760897e+001dB,-2.28265294921766e+001°)
1.29837983798379e+008	(4.47534077052059e+001dB,-2.28332099380128e+001°)
1.29875487548754e+008	(4.47531233734016e+001dB,-2.28398898534798e+001°)
1.29912991299129e+008	(4.47528389806908e+001dB,-2.28465692386960e+001°)
1.29950495049504e+008	(4.47525545270921e+001dB,-2.28532480936853e+001°)
1.29987998799879e+008	(4.47522700126223e+001dB,-2.28599264186082e+001°)
1.30025502550254e+008	(4.47519854372960e+001dB,-2.28666042134840e+001°)
1.30063006300629e+008	(4.47517008011271e+001dB,-2.28732814784289e+001°)
1.30100510051004e+008	(4.47514161041344e+001dB,-2.28799582135292e+001°)
1.30138013801379e+008	(4.47511313463339e+001dB,-2.28866344188695e+001°)
1.30175517551754e+008	(4.47508465277408e+001dB,-2.28933100945354e+001°)
1.30213021302130e+008	(4.47505616483680e+001dB,-2.28999852406199e+001°)
1.30250525052505e+008	(4.47502767082354e+001dB,-2.29066598572217e+001°)
1.30288028802880e+008	(4.47499917073571e+001dB,-2.29133339444000e+001°)
1.30325532553255e+008	(4.47497066457528e+001dB,-2.29200075022341e+001°)
1.30363036303630e+008	(4.47494215234309e+001dB,-2.29266805308660e+001°)
1.30400540054005e+008	(4.47491363404139e+001dB,-2.29333530303339e+001°)
1.30438043804380e+008	(4.47488510967142e+001dB,-2.29400250007353e+001°)
1.30475547554755e+008	(4.47485657923500e+001dB,-2.29466964421592e+001°)
1.30513051305130e+008	(4.47482804273339e+001dB,-2.29533673547401e+001°)
1.30550555055505e+008	(4.47479950016838e+001dB,-2.29600377384521e+001°)
1.30588058805880e+008	(4.47477095154163e+001dB,-2.29667075935344e+001°)
1.30625562556255e+008	(4.47474239685462e+001dB,-2.29733769198591e+001°)
1.30663066306630e+008	(4.47471383610853e+001dB,-2.29800457177390e+001°)
1.30700570057005e+008	(4.47468526930602e+001dB,-2.29867139871582e+001°)
1.30738073807380e+008	(4.47465669644808e+001dB,-2.29933817281671e+001°)
1.30775577557755e+008	(4.47462811753598e+001dB,-2.30000489408899e+001°)
1.30813081308130e+008	(4.47459953257155e+001dB,-2.30067156254269e+001°)
1.30850585058505e+008	(4.47457094155636e+001dB,-2.30133817818553e+001°)
1.30888088808880e+008	(4.47454234449252e+001dB,-2.30200474102017e+001°)
1.30925592559255e+008	(4.47451374138061e+001dB,-2.30267125106332e+001°)
1.30963096309630e+008	(4.47448513222299e+001dB,-2.30333770832022e+001°)
1.31000600060005e+008	(4.47445651702091e+001dB,-2.30400411280360e+001°)
1.31038103810380e+008	(4.47442789577611e+001dB,-2.30467046451359e+001°)
1.31075607560755e+008	(4.47439926849027e+001dB,-2.30533676346032e+001°)
1.31113111311130e+008	(4.47437063516464e+001dB,-2.30600300965960e+001°)
1.31150615061505e+008	(4.47434199580124e+001dB,-2.30666920310973e+001°)
1.31188118811880e+008	(4.47431335040120e+001dB,-2.30733534382947e+001°)
1.31225622562255e+008	(4.47428469896668e+001dB,-2.30800143181930e+001°)
1.31263126312630e+008	(4.47425604149853e+001dB,-2.30866746709279e+001°)
1.31300630063005e+008	(4.47422737799912e+001dB,-2.30933344965488e+001°)
1.31338133813380e+008	(4.47419870846940e+001dB,-2.30999937951240e+001°)
1.31375637563756e+008	(4.47417003291133e+001dB,-2.31066525667591e+001°)
1.31413141314131e+008	(4.47414135132641e+001dB,-2.31133108116185e+001°)
1.31450645064506e+008	(4.47411266371601e+001dB,-2.31199685296363e+001°)
1.31488148814881e+008	(4.47408397008183e+001dB,-2.31266257209674e+001°)
1.31525652565256e+008	(4.47405527042582e+001dB,-2.31332823857422e+001°)
1.31563156315631e+008	(4.47402656474929e+001dB,-2.31399385239725e+001°)
1.31600660066006e+008	(4.47399785305366e+001dB,-2.31465941357394e+001°)
1.31638163816381e+008	(4.47396913534096e+001dB,-2.31532492211761e+001°)
1.31675667566756e+008	(4.47394041161246e+001dB,-2.31599037803149e+001°)
1.31713171317131e+008	(4.47391168186969e+001dB,-2.31665578133040e+001°)
1.31750675067506e+008	(4.47388294611427e+001dB,-2.31732113201697e+001°)
1.31788178817881e+008	(4.47385420434803e+001dB,-2.31798643009974e+001°)
1.31825682568256e+008	(4.47382545657211e+001dB,-2.31865167559079e+001°)
1.31863186318631e+008	(4.47379670278851e+001dB,-2.31931686849591e+001°)
1.31900690069006e+008	(4.47376794299870e+001dB,-2.31998200882069e+001°)
1.31938193819381e+008	(4.47373917720447e+001dB,-2.32064709657621e+001°)
1.31975697569756e+008	(4.47371040540679e+001dB,-2.32131213177450e+001°)
1.32013201320131e+008	(4.47368162760810e+001dB,-2.32197711441504e+001°)
1.32050705070506e+008	(4.47365284380932e+001dB,-2.32264204451200e+001°)
1.32088208820881e+008	(4.47362405401220e+001dB,-2.32330692207090e+001°)
1.32125712571256e+008	(4.47359525821848e+001dB,-2.32397174710197e+001°)
1.32163216321631e+008	(4.47356645642959e+001dB,-2.32463651961277e+001°)
1.32200720072006e+008	(4.47353764864730e+001dB,-2.32530123960928e+001°)
1.32238223822381e+008	(4.47350883487307e+001dB,-2.32596590710296e+001°)
1.32275727572756e+008	(4.47348001510870e+001dB,-2.32663052209740e+001°)
1.32313231323131e+008	(4.47345118935499e+001dB,-2.32729508461067e+001°)
1.32350735073506e+008	(4.47342235761447e+001dB,-2.32795959463842e+001°)
1.32388238823881e+008	(4.47339351988871e+001dB,-2.32862405218900e+001°)
1.32425742574256e+008	(4.47336467617856e+001dB,-2.32928845728206e+001°)
1.32463246324631e+008	(4.47333582648595e+001dB,-2.32995280991901e+001°)
1.32500750075006e+008	(4.47330697081251e+001dB,-2.33061711011164e+001°)
1.32538253825382e+008	(4.47327810916028e+001dB,-2.33128135785232e+001°)
1.32575757575757e+008	(4.47324924153012e+001dB,-2.33194555316934e+001°)
1.32613261326132e+008	(4.47322036792396e+001dB,-2.33260969605913e+001°)
1.32650765076507e+008	(4.47319148834375e+001dB,-2.33327378652901e+001°)
1.32688268826882e+008	(4.47316260279005e+001dB,-2.33393782459948e+001°)
1.32725772577257e+008	(4.47313371126531e+001dB,-2.33460181026606e+001°)
1.32763276327632e+008	(4.47310481377111e+001dB,-2.33526574353454e+001°)
1.32800780078007e+008	(4.47307591030872e+001dB,-2.33592962442141e+001°)
1.32838283828382e+008	(4.47304700087960e+001dB,-2.33659345294069e+001°)
1.32875787578757e+008	(4.47301808548587e+001dB,-2.33725722908114e+001°)
1.32913291329132e+008	(4.47298916412873e+001dB,-2.33792095286034e+001°)
1.32950795079507e+008	(4.47296023681008e+001dB,-2.33858462428891e+001°)
1.32988298829882e+008	(4.47293130353049e+001dB,-2.33924824337791e+001°)
1.33025802580257e+008	(4.47290236429295e+001dB,-2.33991181012854e+001°)
1.33063306330632e+008	(4.47287341909837e+001dB,-2.34057532454589e+001°)
1.33100810081007e+008	(4.47284446794831e+001dB,-2.34123878664542e+001°)
1.33138313831382e+008	(4.47281551084462e+001dB,-2.34190219643052e+001°)
1.33175817581757e+008	(4.47278654778887e+001dB,-2.34256555390221e+001°)
1.33213321332132e+008	(4.47275757878229e+001dB,-2.34322885908409e+001°)
1.33250825082507e+008	(4.47272860382660e+001dB,-2.34389211197459e+001°)
1.33288328832882e+008	(4.47269962292364e+001dB,-2.34455531258294e+001°)
1.33325832583257e+008	(4.47267063607444e+001dB,-2.34521846091680e+001°)
1.33363336333632e+008	(4.47264164328165e+001dB,-2.34588155697897e+001°)
1.33400840084007e+008	(4.47261264454573e+001dB,-2.34654460078667e+001°)
1.33438343834382e+008	(4.47258363986873e+001dB,-2.34720759234568e+001°)
1.33475847584757e+008	(4.47255462925241e+001dB,-2.34787053165558e+001°)
1.33513351335132e+008	(4.47252561269797e+001dB,-2.34853341873584e+001°)
1.33550855085507e+008	(4.47249659020751e+001dB,-2.34919625358031e+001°)
1.33588358835882e+008	(4.47246756178209e+001dB,-2.34985903620477e+001°)
1.33625862586257e+008	(4.47243852742370e+001dB,-2.35052176662108e+001°)
1.33663366336632e+008	(4.47240948713378e+001dB,-2.35118444483001e+001°)
1.33700870087008e+008	(4.47238044091388e+001dB,-2.35184707084183e+001°)
1.33738373837383e+008	(4.47235138876567e+001dB,-2.35250964466380e+001°)
1.33775877587758e+008	(4.47232233069031e+001dB,-2.35317216630641e+001°)
1.33813381338133e+008	(4.47229326669022e+001dB,-2.35383463577084e+001°)
1.33850885088508e+008	(4.47226419676614e+001dB,-2.35449705307061e+001°)
1.33888388838883e+008	(4.47223512092041e+001dB,-2.35515941821184e+001°)
1.33925892589258e+008	(4.47220603915387e+001dB,-2.35582173120013e+001°)
1.33963396339633e+008	(4.47217695146896e+001dB,-2.35648399204171e+001°)
1.34000900090008e+008	(4.47214785786649e+001dB,-2.35714620074949e+001°)
1.34038403840383e+008	(4.47211875834815e+001dB,-2.35780835733514e+001°)
1.34075907590758e+008	(4.47208965291606e+001dB,-2.35847046179019e+001°)
1.34113411341133e+008	(4.47206054157166e+001dB,-2.35913251413221e+001°)
1.34150915091508e+008	(4.47203142431593e+001dB,-2.35979451437318e+001°)
1.34188418841883e+008	(4.47200230115127e+001dB,-2.36045646251238e+001°)
1.34225922592258e+008	(4.47197317207866e+001dB,-2.36111835856502e+001°)
1.34263426342633e+008	(4.47194403710006e+001dB,-2.36178020252727e+001°)
1.34300930093008e+008	(4.47191489621653e+001dB,-2.36244199442031e+001°)
1.34338433843383e+008	(4.47188574943073e+001dB,-2.36310373423813e+001°)
1.34375937593758e+008	(4.47185659674328e+001dB,-2.36376542199563e+001°)
1.34413441344133e+008	(4.47182743815608e+001dB,-2.36442705769740e+001°)
1.34450945094508e+008	(4.47179827367059e+001dB,-2.36508864135659e+001°)
1.34488448844883e+008	(4.47176910328864e+001dB,-2.36575017297911e+001°)
1.34525952595258e+008	(4.47173992701122e+001dB,-2.36641165257196e+001°)
1.34563456345633e+008	(4.47171074484079e+001dB,-2.36707308013746e+001°)
1.34600960096008e+008	(4.47168155677875e+001dB,-2.36773445568457e+001°)
1.34638463846383e+008	(4.47165236282637e+001dB,-2.36839577922403e+001°)
1.34675967596758e+008	(4.47162316298493e+001dB,-2.36905705076770e+001°)
1.34713471347133e+008	(4.47159395725665e+001dB,-2.36971827030975e+001°)
1.34750975097508e+008	(4.47156474564331e+001dB,-2.37037943786557e+001°)
1.34788478847883e+008	(4.47153552814542e+001dB,-2.37104055344921e+001°)
1.34825982598259e+008	(4.47150630476563e+001dB,-2.37170161705561e+001°)
1.34863486348634e+008	(4.47147707550536e+001dB,-2.37236262869082e+001°)
1.34900990099009e+008	(4.47144784036539e+001dB,-2.37302358838000e+001°)
1.34938493849384e+008	(4.47141859934851e+001dB,-2.37368449610780e+001°)
1.34975997599759e+008	(4.47138935245542e+001dB,-2.37434535190164e+001°)
1.35013501350134e+008	(4.47136009968789e+001dB,-2.37500615576148e+001°)
1.35051005100509e+008	(4.47133084104730e+001dB,-2.37566690769398e+001°)
1.35088508850884e+008	(4.47130157653627e+001dB,-2.37632760769573e+001°)
1.35126012601259e+008	(4.47127230615498e+001dB,-2.37698825579145e+001°)
1.35163516351634e+008	(4.47124302990603e+001dB,-2.37764885197907e+001°)
1.35201020102009e+008	(4.47121374779055e+001dB,-2.37830939627210e+001°)
1.35238523852384e+008	(4.47118445981057e+001dB,-2.37896988866823e+001°)
1.35276027602759e+008	(4.47115516596708e+001dB,-2.37963032917905e+001°)
1.35313531353134e+008	(4.47112586626210e+001dB,-2.38029071781472e+001°)
1.35351035103509e+008	(4.47109656069695e+001dB,-2.38095105458296e+001°)
1.35388538853884e+008	(4.47106724927319e+001dB,-2.38161133948689e+001°)
1.35426042604259e+008	(4.47103793199277e+001dB,-2.38227157253466e+001°)
1.35463546354634e+008	(4.47100860885704e+001dB,-2.38293175373294e+001°)
1.35501050105009e+008	(4.47097927986754e+001dB,-2.38359188309414e+001°)
1.35538553855384e+008	(4.47094994502624e+001dB,-2.38425196061342e+001°)
1.35576057605759e+008	(4.47092060433383e+001dB,-2.38491198631644e+001°)
1.35613561356134e+008	(4.47089125779292e+001dB,-2.38557196019617e+001°)
1.35651065106509e+008	(4.47086190540474e+001dB,-2.38623188225724e+001°)
1.35688568856884e+008	(4.47083254717084e+001dB,-2.38689175251619e+001°)
1.35726072607259e+008	(4.47080318309269e+001dB,-2.38755157097579e+001°)
1.35763576357634e+008	(4.47077381317166e+001dB,-2.38821133765262e+001°)
1.35801080108009e+008	(4.47074443740996e+001dB,-2.38887105253966e+001°)
1.35838583858384e+008	(4.47071505580847e+001dB,-2.38953071565029e+001°)
1.35876087608759e+008	(4.47068566836967e+001dB,-2.39019032698821e+001°)
1.35913591359134e+008	(4.47065627509443e+001dB,-2.39084988656721e+001°)
1.35951095109509e+008	(4.47062687598468e+001dB,-2.39150939438735e+001°)
1.35988598859885e+008	(4.47059747104172e+001dB,-2.39216885046268e+001°)
1.36026102610260e+008	(4.47056806026751e+001dB,-2.39282825479252e+001°)
1.36063606360635e+008	(4.47053864366300e+001dB,-2.39348760739347e+001°)
1.36101110111010e+008	(4.47050922123053e+001dB,-2.39414690826362e+001°)
1.36138613861385e+008	(4.47047979297144e+001dB,-2.39480615741304e+001°)
1.36176117611760e+008	(4.47045035888731e+001dB,-2.39546535484917e+001°)
1.36213621362135e+008	(4.47042091897950e+001dB,-2.39612450058024e+001°)
1.36251125112510e+008	(4.47039147324987e+001dB,-2.39678359461246e+001°)
1.36288628862885e+008	(4.47036202169942e+001dB,-2.39744263695837e+001°)
1.36326132613260e+008	(4.47033256433057e+001dB,-2.39810162760747e+001°)
1.36363636363635e+008	(4.47030310114506e+001dB,-2.39876056657937e+001°)
1.36401140114010e+008	(4.47027363214328e+001dB,-2.39941945388775e+001°)
1.36438643864385e+008	(4.47024415732809e+001dB,-2.40007828952162e+001°)
1.36476147614760e+008	(4.47021467669973e+001dB,-2.40073707351266e+001°)
1.36513651365135e+008	(4.47018519026112e+001dB,-2.40139580584058e+001°)
1.36551155115510e+008	(4.47015569801356e+001dB,-2.40205448652452e+001°)
1.36588658865885e+008	(4.47012619995784e+001dB,-2.40271311557959e+001°)
1.36626162616260e+008	(4.47009669609623e+001dB,-2.40337169300157e+001°)
1.36663666366635e+008	(4.47006718643027e+001dB,-2.40403021879634e+001°)
1.36701170117010e+008	(4.47003767096140e+001dB,-2.40468869298134e+001°)
1.36738673867385e+008	(4.47000814969119e+001dB,-2.40534711555630e+001°)
1.36776177617760e+008	(4.46997862262127e+001dB,-2.40600548653010e+001°)
1.36813681368135e+008	(4.46994908975353e+001dB,-2.40666380589929e+001°)
1.36851185118510e+008	(4.46991955108900e+001dB,-2.40732207369270e+001°)
1.36888688868885e+008	(4.46989000662990e+001dB,-2.40798028989232e+001°)
1.36926192619260e+008	(4.46986045637674e+001dB,-2.40863845452748e+001°)
1.36963696369635e+008	(4.46983090033279e+001dB,-2.40929656758833e+001°)
1.37001200120010e+008	(4.46980133849798e+001dB,-2.40995462909183e+001°)
1.37038703870385e+008	(4.46977177087502e+001dB,-2.41061263903631e+001°)
1.37076207620760e+008	(4.46974219746469e+001dB,-2.41127059743864e+001°)
1.37113711371135e+008	(4.46971261826921e+001dB,-2.41192850429926e+001°)
1.37151215121511e+008	(4.46968303329002e+001dB,-2.41258635962210e+001°)
1.37188718871886e+008	(4.46965344252838e+001dB,-2.41324416342096e+001°)
1.37226222622261e+008	(4.46962384598617e+001dB,-2.41390191569720e+001°)
1.37263726372636e+008	(4.46959424366495e+001dB,-2.41455961646583e+001°)
1.37301230123011e+008	(4.46956463556603e+001dB,-2.41521726572479e+001°)
1.37338733873386e+008	(4.46953502169164e+001dB,-2.41587486347584e+001°)
1.37376237623761e+008	(4.46950540204295e+001dB,-2.41653240974089e+001°)
1.37413741374136e+008	(4.46947577662140e+001dB,-2.41718990452023e+001°)
1.37451245124511e+008	(4.46944614542894e+001dB,-2.41784734781352e+001°)
1.37488748874886e+008	(4.46941650846696e+001dB,-2.41850473963846e+001°)
1.37526252625261e+008	(4.46938686573672e+001dB,-2.41916207999616e+001°)
1.37563756375636e+008	(4.46935721724070e+001dB,-2.41981936889079e+001°)
1.37601260126011e+008	(4.46932756297973e+001dB,-2.42047660633130e+001°)
1.37638763876386e+008	(4.46929790295550e+001dB,-2.42113379232849e+001°)
1.37676267626761e+008	(4.46926823716951e+001dB,-2.42179092688991e+001°)
1.37713771377136e+008	(4.46923856562359e+001dB,-2.42244801001236e+001°)
1.37751275127511e+008	(4.46920888831964e+001dB,-2.42310504170959e+001°)
1.37788778877886e+008	(4.46917920525861e+001dB,-2.42376202198694e+001°)
1.37826282628261e+008	(4.46914951644231e+001dB,-2.42441895085177e+001°)
1.37863786378636e+008	(4.46911982187277e+001dB,-2.42507582830908e+001°)
1.37901290129011e+008	(4.46909012155101e+001dB,-2.42573265436280e+001°)
1.37938793879386e+008	(4.46906041547845e+001dB,-2.42638942903023e+001°)
1.37976297629761e+008	(4.46903070365734e+001dB,-2.42704615230519e+001°)
1.38013801380136e+008	(4.46900098608878e+001dB,-2.42770282420702e+001°)
1.38051305130511e+008	(4.46897126277460e+001dB,-2.42835944472505e+001°)
1.38088808880886e+008	(4.46894153371654e+001dB,-2.42901601388204e+001°)
1.38126312631261e+008	(4.46891179891587e+001dB,-2.42967253167454e+001°)
1.38163816381636e+008	(4.46888205837418e+001dB,-2.43032899811436e+001°)
1.38201320132011e+008	(4.46885231209303e+001dB,-2.43098541321216e+001°)
1.38238823882386e+008	(4.46882256007432e+001dB,-2.43164177696023e+001°)
1.38276327632761e+008	(4.46879280231945e+001dB,-2.43229808937931e+001°)
1.38313831383137e+008	(4.46876303883003e+001dB,-2.43295435046900e+001°)
1.38351335133512e+008	(4.46873326960740e+001dB,-2.43361056023893e+001°)
